अ a
तड़ाक taड़Ak
तफ़री tafrI
थंभ थaqB
थक थak
थकअना थakaanA
थकने थaknE
थकने थaknE
थका थakA
थकान थakAn
थकाना थakAnA
थकाने थakAnE
थकावट थakAwaट
थके थakE
थक्का थakkA
थन थan
थपथपाना थapथapAnA
थप्पड थappaड
थप्पड़ थappaD
थम थam
थम थam
थमता थamtA
थमना थamnA
थमा थamA
थर थar
थर थar
थरथर थarथar
थरथराना थarथarAnA
थरबेरी थarbErI
थर्ड थarड
थर्रा थarrA
थर्सौइड्स थarsऔiडs
थल थal
थलग थalag
थलिया थaliyA
था थA
था थA
थाई थAI
थान थAn
थाने थAnE
थानेदार थAnEdAr
थाप थAp
थाम थAm
थाम थAm
थामकर थAmkar
थामने थAmnE
थामने थAmnE
थाल थAl
थाल थAl
थाली थAlI
थाली थAlI
थिंग्स थiqgs
थियेटर थiyEटar
थिरक थirak
थिसल थisal
थिसल् थisal
थी थI
थी थI
थीं थIq
थीएटर थIEटar
थीयौइड्स थIyऔiडs
थुथुरमुंहा थuथurmuqhA
थुथुरमुंहे थuथurmuqhE
थुलथुल थulथul
थूकम थUkam
थूनी थUnI
थे थE
थे थE
थें थEq
थैकरे थऐkrE
थैला थऐlA
थैली थऐlI
थैली थऐlI
थैलीई थऐlII
थैले थऐlE
थैले थऐlE
थॉमस थऑmas
थॉरकिल्ड थऑrkilड
थोक थok
थोक थok
थोड़ा थoड़A
थोड़ा थoDA
थोड़ी थoड़I
थोड़ी थoDI
थोड़े थoड़E
थोडा थoडA
थोडा थoडA
थोडी थoडI
थोडे थoडE
थोथा थoथA
थोप थop
थोपना थopnA
थोपना थopnA
थोड़ा थoड़A
थोड़ी थoड़I
थोड़ी थoDI
थोड़े थoड़E
थोड़े थoDE
थ्रिल थril
थ्री थrI
थ्रू थrU
थ्रेशर थrEशar
थ्रो थro
द da
द da
दँतखोदनी daMtखodnI
दँतपट्टिका daMtpaटटikA
दँतार daMtAr
दँवरिया daMwriyA
दँवरी daMwrI
दँवारि daMwAri
दँसान daMsAn
दँहगल daMhgal
दंग daqg
दंगई daqgaI
दंगल daqgal
दंगली daqgalI
दंगा daqgA
दंगाई daqgAI
दंगे daqgE
दंगेबाज़ daqgEbAz
दंगैत daqgऐt
दंगों daqgoq
दंड daqड
दंड daqड
दंडक daqडak
दंडकला daqडaklA
दंडका daqडakA
दंडकारण्य daqडakAraणya
दंडकारण्य daqडakAraणya
दंडकी daqडakI
दंडगौरी daqडagऔrI
दंडघ्न daqडaघn
दंडचारी daqडacArI
दंडधर daqडaधar
दंडधारी daqडaधArI
दंडन daqडan
दंडना daqडanA
दंडनीय daqडanIya
दंडपाल daqडapAl
दंडपालक daqडapAlak
दंडपाशक daqडapAशak
दंडबालधि daqडabAlधi
दंडभृत daqडaBRt
दंडमान daqडamAn
दंडमुक्ति daqडamukti
दंडयाम daqडayAm
दंडरी daqडarI
दंडवत daqडawat
दंडवत् daqडawat
दंडवासी daqडawAsI
दंडवाही daqडawAhI
दंडा daqडA
दंडाकरन daqडAkran
दंडाक्ष daqडAkष
दंडाजिन daqडAjin
दंडात्मक daqडAtmak
दंडादंडि daqडAdaqडi
दंडादेश daqडAdEश
दंडादेशित daqडAdEशit
दंडाधिकारी daqडAधikArI
दंडाधिप daqडAधip
दंडापूपन्याय daqडApUpanyAya
दंडायमान daqडAymAn
दंडार daqडAr
दंडार्ह daqडArh
दंडालय daqडAlya
दंडाश्रम daqडAशram
दंडाश्रमी daqडAशramI
दंडाहत daqडAhat
दंडिक daqडik
दंडिका daqडikA
दंडित daqडit
दंडिनी daqडinI
दंडी daqडI
दंडोत्पल daqडotpal
दंडोत्पला daqडotpalA
दंडोपनत daqडopnat
दंड्य daqडya
दंत daqt
दंतक daqtak
दंतकथा daqtakथA
दंतकर्षण daqtakarषaण
दंतकार daqtakAr
दंतकारी daqtakArI
दंतकूर daqtakUr
दंतक्षत daqtakषat
दंतच्छद daqtacCad
दंतच्छदोपमा daqtacCadopmA
दंतपट्टिका daqtapaटटikA
दंतपार daqtapAr
दंतपुर daqtapur
दंतफला daqtaPlA
दंतमूल daqtamUl
दंतमूलीय daqtamUlIya
दंतवक्र daqtawakr
दंतवल्क daqtawalk
दंतव्यसन daqtawyasan
दंतशूल daqtaशUl
दंतहर्षक daqtaharषak
दंतहीन daqtahIn
दंता daqtA
दंताग्र daqtAgr
दंताघात daqtAघAt
दंताज daqtAj
दंतादंति daqtAdaqti
दंतायुध daqtAyuध
दंतारा daqtArA
दंतार्बुद daqtArbud
दंताल daqtAl
दंतालय daqtAlya
दंतालिका daqtAlikA
दंताली daqtAlI
दंतावल daqtAwal
दंताहल daqtAhal
दंतिका daqtikA
दंतिया daqtiyA
दंती daqtI
दंतीबीज daqtIbIj
दंतुर daqtur
दंतुरक daqturak
दंतुरच्छद daqturacCad
दंतुरण daqturaण
दंतुरिया daqturiyA
दंतुल daqtul
दंतुला daqtulA
दंतोद्भेद daqtodBEd
दंतोलूखलिक daqtolUखlik
दंतोष्ठ्य daqtoषठya
दंत्य daqtya
दंद daqd
दंदन daqdan
दंदश daqdaश
दंदशूक daqdaशUk
दंदह्यमान daqdahyamAn
दंदा daqdA
दंदान daqdAn
दंदाना daqdAnA
दंदानेदार daqdAnEdAr
दंदारु daqdAru
दंदी daqdI
दंपति daqpati
दंपती daqpatI
दंपत्ति daqpatti
दंपा daqpA
दंबु daqbu
दंभ daqB
दंभक daqBak
दंभपूर्ण daqBapUrण
दंभान daqBAn
दंभी daqBI
दंभोलि daqBoli
दंश daqश
दंश daqश
दंशक daqशak
दंशन daqशan
दंशना daqशanA
दंशभीरु daqशaBIru
दंशहीन daqशahIn
दंशित daqशit
दंशी daqशI
दंशूक daqशUk
दंष्ट्र daqषटr
दंष्ट्रा daqषटrA
दंष्ट्रायुध daqषटrAyuध
दंष्ट्राल daqषटrAl
दंष्ट्रास्त्र daqषटrAstr
दंष्ट्रिक daqषटrik
दंष्ट्रिका daqषटrikA
दंष्ट्री daqषटrI
दंस daqs
दंड़ daqD
दंड़न्याय daqDanyAya
दइउ daiu
दइजा daijA
दइत dait
दइमारा daimArA
दई daI
दईमारा daImArA
दउरा daurA
दउवना dauwnA
दक dak
दकन dakan
दकनी daknI
दक़यानुसी daकyAnusI
दकार dakAr
दकार्गल dakArgal
दकियानूस dakiyAnUs
दकियानूसी dakiyAnUsI
दकीका dakIkA
दक्काक dakkAk
दक्खिन dakखin
दक्खिनी dakखinI
दक्ष dakष
दक्षक्रतुध्वंसी dakषakratuधwaqsI
दक्षत dakषat
दक्षता dakषatA
दक्षतापूर्ण dakषatApUrण
दक्षतापूर्वक dakषatApUrwak
दक्षतारोध dakषatAroध
दक्षा dakषA
दक्षा dakषA
दक्षांड dakषAqड
दक्षायणी dakषAyणI
दक्षाय्य dakषAyya
दक्षिण dakषiण
दक्षिण dakषiण
दक्षिणध्रुवीय dakषiणaधruwIya
दक्षिणपंथी dakषiणpaqथI
दक्षिणा dakषiणA
दक्षिणाग्नि dakषiणAgni
दक्षिणाग्र dakषiणAgr
दक्षिणाचल dakषiणAcal
दक्षिणाचार dakषiणAcAr
दक्षिणाचारी dakषiणAcArI
दक्षिणापरा dakषiणAprA
दक्षिणाभिमुख dakषiणABimuख
दक्षिणायन dakषiणAyan
दक्षिणावर्त dakषiणAwart
दक्षिणावर्तकी dakषiणAwartakI
दक्षिणावह dakषiणAwah
दक्षिणाशा dakषiणAशA
दक्षिणी dakषiणI
दक्षिणी dakषiणI
दक्षिणीई dakषiणII
दक्षिणीय dakषiणIya
दक्षिणोन्मुख dakषiणonmuख
दक्षिण्य dakषiणya
दक्षिन dakषin
दक्षिनी dakषinI
दक्षीणपंथी dakषIणpaqथI
दखन daखan
दखनी daखnI
दखमा daखmA
दखल daखal
दखल daखal
दखलंदाज़ daखlaqdAz
दखलदार daखladAr
दख़ल daख़al
दख़ल daKal
दख़लंदाज़ daKlaqdAz
दखिन daखin
दखिनहरा daखinahrA
दखिनहा daखinhA
दखिना daखinA
दखील daखIl
दखीलकार daखIlkAr
दखीलकारी daखIlkArI
दखीलदार daखIldAr
दगइल dagail
दगड़ dagaD
दगड़ना dagaDnA
दगदगा dagadgA
दगदगाना dagdagAnA
दगदगी dagadgI
दगध dagaध
दगधना dagaधnA
दगना dagnA
दगर dagar
दगरा dagrA
दगरी dagrI
दगल dagal
दगलना dagalnA
दगला daglA
दगवाना dagwAnA
दगहा daghA
दगा dagA
दगाई dagAI
दगादार dagAdAr
दगाबाज dagAbAj
दगाबाज़ dagAbAz
दगाबाज़ी dagAbAzI
दगाबाजी dagAbAjI
दगार्गल dagArgal
दगैल dagऐl
दग्द dagd
दग्ध dagध
दग्धा dagधA
दग्धाक्षर dagधAkषar
दग्धाह्न dagधAhn
दग्धिका dagधikA
दग्धित dagधit
दग्धेष्टका dagधEषटakA
दचक dacak
दचकना dacaknA
दचका dackA
दचना dacnA
दच्छ dacC
दच्छकुमारी dacCakumArI
दच्छना dacCanA
दच्छसुता dacCasutA
दच्छिन dacCin
दज्जाल dajjAl
दज्झना dajJanA
दड़घल daDघal
दड़बा daDbA
दड़ा daDA
दड़ोकना daDoknA
दड़ोबड़ daDobaD
दढ़ना daTnA
दढ़ाना daTAnA
दढ़ियल daTiyl
दढ्ढ daढढ
दणियर daणiyr
दण्ड daणड
दण्डकारण्य daणडakAraणya
दण्डनीय daणडanIya
दण्डमुक्ति daणडamukti
दण्डवत daणडawat
दण्डवत् daणडawat
दण्डविधान daणडawiधAn
दण्डस्थगन daणडasथagan
दण्डाणु daणडAणu
दण्डात्मक daणडAtmak
दण्डाधिकारी daणडAधikArI
दण्डित daणडit
दण्ड़ daणD
दण्ड़ित daणDit
दतना datnA
दतवन datwan
दतारा datArA
दति dati
दतिसुत datisut
दतुअन datuan
दतुवन datuwan
दतून datUn
दतौन datऔn
दत्त datt
दत्त datt
दत्तक dattak
दत्तचित्त dattcitt
दत्ततीर्थकृत datttIrथakRt
दत्तस्यानपा dattasyAnpA
दत्ता dattA
दत्ता dattA
दत्तात्मा dattAtmA
दत्तात्रेय dattAtrEya
दत्ताप्रदानिक dattApradAnik
दत्तावधान dattAwधAn
दत्ति datti
दत्ती dattI
दत्तेय dattEya
दत्तोपनिषद् dattopniषad
दत्तोलि dattoli
दत्र datr
दत्रिम datrim
ददन dadan
ददमर dadmar
ददरा dadrA
ददा dadA
ददि dadi
ददिऔर dadiऔr
ददिता daditA
ददिया dadiyA
ददियाल dadiyAl
ददिहाल dadihAl
ददुँर daduMr
ददोड़ा dadoDA
ददोरा dadorA
ददौरा dadऔrA
दद्दा daddA
दद्दू daddU
दद्रु dadru
दद्रुक dadruk
दद्रुघ्न dadruघn
दद्रुण dadruण
दद्रू dadrU
दद्रूण dadrUण
दध daध
दधना daधnA
दधसार daधsAr
दधि daधi
दधिचार daधicAr
दधिज daधij
दधित्थ daधitथ
दधित्थाख्य daधitथAखya
दधिधेनु daधiधEnu
दधियार daधiyAr
दधिषाय्य daधiषAyya
दधिसार daधisAr
दधीच daधIc
दधीचि daधIci
दधीच्यस्थि daधIcyasथi
दध्न daधn
दध्यानी daधyAnI
दध्युत्तर daधyuttar
दन dan
दनकर dankar
दनगा dangA
दनदनाते dandanAtE
दनदनाना dandanAnA
दनमणि danamणi
दना danA
दनादन danAdan
दनियाँ daniyAM
दनु danu
दनुज danuj
दनुजराय danujrAya
दनुजारि danujAri
दनुजेंद्र danujEqdr
दनुसम्भव danusamBawa
दनू danU
दन्ड danड
दन्डित danडit
दन्त dant
दन्तकथा dantakथA
दन्तखुदनी dantaखudnI
दन्तमंजन dantamaqjan
दन्तमज्जा dantamajjA
दन्तहीन dantahIn
दन्तावली dantAwlI
दन्ती dantI
दन्तुर dantur
दन्तुरदन्डक् danturdanडak
दन्त्य dantya
दन्न dann
दपट dapaट
दपटना dapaटnA
दपु dapu
दपेट dapEट
दपेटना dapEटnA
दप्प dapp
दफ daP
दफतर daPtar
दफतरी daPatrI
दफती daPtI
दफदर daPdar
दफन daPan
दफना daPnA
दफनाना daPnAnA
दफनाने daPnAnE
दफनाया daPnAyA
दफरा daPrA
दफराना daPrAnA
दफ़न dafan
दफ़नाना dafnAnA
दफ़नाया dafnAyA
दफ़्तर daftar
दफ़्तर daftar
दफ़्तरशह daftaraशah
दफ़्तरशाही daftaraशAhI
दफ़्तरी daftarI
दफ़्तरों daftaroq
दफ़्ती daftI
दफा daPA
दफादार daPAdAr
दफादारी daPAdArI
दफाली daPAlI
दफीना daPInA
दफ्तर daPtar
दफ्तरशाही daPtaraशAhI
दफ्तरी daPtarI
दफ्त़र daPta़ar
दफ्ती daPtI
दब dab
दब dab
दबंग dabaqg
दबंग dabaqg
दबक dabak
दबककर dabkakar
दबकगर dabkagar
दबकना dabaknA
दबकनी dabaknI
दबकर dabkar
दबका dabkA
दबकाना dabkAnA
दबकिया dabkiyA
दबकी dabkI
दबकैया dabkऐyA
दबगर dabgar
दबड़ू dabDU
दबदबा dabadbA
दबदबेवाला dabdabEwAlA
दबन daban
दबना dabnA
दबमो dabmo
दबर dabar
दबवाना dabwAnA
दबस dabas
दबा dabA
दबा dabA
दबाई dabAI
दबाऊ dabAU
दबाकर dabAkar
दबाकर dabAkar
दबाते dabAtE
दबाना dabAnA
दबाने dabAnE
दबाने dabAnE
दबानेवाला dabAnEwAlA
दबाब dabAb
दबाबा dabAbA
दबाया dabAyA
दबायाना dabAyAnA
दबाये dabAyE
दबाव dabAwa
दबाव dabAwa
दबावपूर्ण dabAwpUrण
दबिला dabilA
दबी dabI
दबी dabI
दबीज dabIj
दबीर dabIr
दबूसा dabUsA
दबे dabE
दबेला dabElA
दबैल dabऐl
दबोच daboc
दबोचना dabocnA
दबोचने dabocnE
दबोरना dabornA
दबोस dabos
दबोसना dabosnA
दबौनी dabऔnI
दब्ब dabb
दब्बू dabbU
दब्बू dabbU
दब्बूपन dabbUpan
दभाव daBAwa
दभ्र daBr
दम dam
दम dam
दमँगल damaMgal
दमंस damaqs
दमक damak
दमकता damaktA
दमकना damaknA
दमकल damkal
दमकला damaklA
दमकाना damkAnA
दमघोंट damघoqट
दमघोंटू damघoqटU
दमघोख damघoख
दमघोटू damघoटU
दमघोष damघoष
दमचा damcA
दमचूल्हा damcUlhA
दमजोड़ा damjoDA
दमड़ा damDA
दमड़ी damDI
दमडी damडI
दमथु damथu
दमदमा damadmA
दमदार damdAr
दमदार damdAr
दमन daman
दमनक damnak
दमनकर्ता damankartA
दमनकारिता damnakAritA
दमनकारी damnakArI
दमनपापड़ damnapApaD
दमना damnA
दमनात्मक damnAtmak
दमनात्मकता damnAtmaktA
दमनी damnI
दमनीय damnIya
दमपुख़्त dampuKt
दमपुख्त dampuखt
दमबाजी dambAjI
दमयंतिका damyaqtikA
दमयंती damyaqtI
दमयिता damyitA
दमरक damrak
दमरी damrI
दमशील damशIl
दमसना damasnA
दमसाज damsAj
दमा damA
दमा damA
दमाग damAg
दमाग्रस्त damAgrast
दमाज damAj
दमाणक damAणak
दमाद damAd
दमादम damAdam
दमान damAn
दमानक damAnak
दमाम damAm
दमामा damAmA
दमार damAr
दमारि damAri
दमारोगी damArogI
दमावति damAwti
दमाह damAh
दमित damit
दमित damit
दमिश्क damiशk
दमी damI
दमुना damunA
दमैया damऐyA
दमोड़ा damoDA
दमोदर damodar
दमोय damoya
दम्पतिरूप dampatirUp
दम्पती dampatI
दम्पत्ति dampatti
दम्पत्ति dampatti
दम्भी damBI
दम्य damya
दयत dayat
दयनीय daynIya
दयनीय daynIya
दयनीयता daynIytA
दया dayA
दया dayA
दयाआ dayAA
दयानत dayAnat
दयानतदार dayAntadAr
दयानतदारी dayAntadArI
दयाना dayAnA
दयानिधि dayAniधi
दयापूर्वक dayApUrwak
दयाभाव dayABAwa
दयामय dayAmya
दयार dayAr
दयार्द्र dayArdr
दयाल dayAl
दयाल dayAl
दयालु dayAlu
दयालु dayAlu
दयालुता dayAlutA
दयालुतापूर्वक dayAlutApUrwak
दयावंत dayAwaqt
दयावती dayAwtI
दयावना dayAwnA
दयावान dayAwAn
दयावान् dayAwAn
दयावीर dayAwIr
दयाशीलता dayAशIltA
दयाहीन dayAhIn
दयाहीनता dayAhIntA
दयित dayit
दयिता dayitA
दयित्नु dayitnu
दर dar
दर dar
दरंग daraqg
दरअसल daraasal
दरअसल daraasal
दरक darak
दरकच darkac
दरकचना darkacnA
दरकटी darakटI
दरकन darkan
दरकना daraknA
दरका darkA
दरकाना darkAnA
दरकार darkAr
दरकारी darkArI
दरकूच darkUc
दरखत darखat
दरखास्त darखAst
दरखास्ती darखAstI
दरख्त daraखt
दरगाह dargAh
दरज daraj
दरजन darjan
दरज़ी darazI
दरजा darjA
दरजाबंदी darjAbaqdI
दरजावार darjAwAr
दरजिन darjin
दरजी darjI
दरजे darjE
दरण daraण
दरणि darणi
दरणी darणI
दरती dartI
दरथ daraथ
दरद darad
दरदबंद dardabaqd
दरदमंद dardamaqd
दरदरा daradrA
दरदराना dardarAnA
दरदरी daradrI
दरदवंत dardawaqt
दरदावन dardAwan
दरदीला dardIlA
दरद्द daradd
दरद्रि daradri
दरध daraध
दरन daran
दरना darnA
दरप darap
दरपक darpak
दरपन darpan
दरपना darapnA
दरपनी darapnI
दरब darab
दरबंदी darbaqdI
दरबर darbar
दरबराना darbarAnA
दरबहरा darbahrA
दरबा darbA
दरबान darbAn
दरबानी darbAnI
दरबार darbAr
दरबार darbAr
दरबारदार darbArdAr
दरबारदारी darbArdArI
दरबारी darbArI
दरबारी darbArI
दरबी darbI
दरबीकर darbIkar
दरभ daraB
दरभा darBA
दरम daram
दरमन darman
दरमा darmA
दरमाहा darmAhA
दरमियाँ darmiyAM
दरमियान darmiyAn
दरमियानी darmiyAnI
दरया daryA
दरयाई daryAI
दरयाफ्त daryAPt
दररना dararnA
दरराना darrAnA
दरवजा darawjA
दरवाज़ा darwAzA
दरवाज़ा darwAzA
दरवाज़े darwAzE
दरवाज़े darwAzE
दरवाज़ें darwAzEq
दरवाजा darwAjA
दरवाजे darwAjE
दरवाज़ा darwAzA
दरवाज़े darwAzE
दरवेश darwEश
दरश daraश
दरशन darशan
दरशनी daraशnI
दरशाना darशAnA
दरस daras
दरसन darsan
दरसना darasnA
दरसनिया darsaniyA
दरसनी darasnI
दरसनीय darsanIya
दरसाना darsAnA
दरसावना darsAwnA
दरहम darham
दराँती darAMtI
दराई darAI
दराज darAj
दराजदार darAjdAr
दराती darAtI
दरानेवाला darAnEwAlA
दरार darAr
दरार darAr
दरारदार darArdAr
दरारना darArnA
दरारा darArA
दरारों darAroq
दरि dari
दरिंदा dariqdA
दरित darit
दरिद darid
दरिद्दर dariddar
दरिद्र daridr
दरिद्र daridr
दरिद्रता daridratA
दरिद्रतापूर्वक daridratApUrwak
दरिद्रायक daridrAyak
दरिद्रालय daridrAlya
दरिद्रित daridrit
दरिद्री daridrI
दरियफ्त dariyPt
दरिया dariyA
दरिया dariyA
दरियाई dariyAI
दरियादास dariyAdAs
दरियादासी dariyAdAsI
दरियादिल dariyAdil
दरियादिली dariyAdilI
दरियादिली dariyAdilI
दरियाफ्त dariyAPt
दरियाव dariyAwa
दरी darI
दरीखाना darIखAnA
दरीचा darIcA
दरीबा darIbA
दरेक darEk
दरेग darEg
दरेज darEj
दरेती darEtI
दरेर darEr
दरेरना darErnA
दरेरा darErA
दरेस darEs
दरेसी darEsI
दरैया darऐyA
दरोग darog
दरोगा darogA
दरोदर darodar
दर्कार darkAr
दर्गाह dargAh
दर्ज darj
दर्ज darj
दर्जन darjan
दर्जन darjan
दर्जनों darjanoq
दर्ज़ darz
दर्ज़ा darzA
दर्ज़ी darzI
दर्ज़े darzE
दर्जा darjA
दर्जा darjA
दर्जावार darjAwAr
दर्जिन darjin
दर्जी darjI
दर्जीगिरी darjIgirI
दर्जे darjE
दर्जे darjE
दर्द dard
दर्द dard
दर्दनाक dardanAk
दर्दनाशक dardanAशak
दर्दभरा dardaBrA
दर्दमंद dardamaqd
दर्दर dardar
दर्दरहित dardarahit
दर्दरीक dardarIk
दर्दी dardI
दर्दीला dardIlA
दर्दु dardu
दर्दुर dardur
दर्दुरक dardurak
दर्दुरच्छदा darduracCadA
दर्द्धी dardधI
दर्प darp
दर्पक darpak
दर्पण darpaण
दर्पन darpan
दर्पवाक्य darpawAkya
दर्पित darpit
दर्पी darpI
दर्ब darb
दर्बान darbAn
दर्बार darbAr
दर्बारी darbArI
दर्बी darbI
दर्भ darB
दर्भट darBaट
दर्भण darBaण
दर्भा darBA
दर्भाकुर darBAkur
दर्भासन darBAsan
दर्भाह्रय darBAhraya
दर्भेषिका darBEषikA
दर्मियान darmiyAn
दर्मियानी darmiyAnI
दर्याव daryAwa
दर्रा darrA
दर्राज darrAj
दर्राना darrAnA
दर्रे darrE
दर्व darwa
दर्वरीक darwarIk
दर्वा darwA
दर्वाजा darwAjA
दर्वाज़ा darwAzA
दर्विक darwik
दर्विका darwikA
दर्विदा darwidA
दर्वी darwI
दर्श darश
दर्शक darशak
दर्शक darशak
दर्शककक्ष darशakakakष
दर्शकगण darशakagaण
दर्शकगृह darशakagRh
दर्शकदीर्घा darशakadIrघA
दर्शकीय darशakIya
दर्शकों darशakoq
दर्शकों darशakoq
दर्शन darशan
दर्शन darशan
दर्शनरति darशanarti
दर्शनशास्त्र darशanaशAstr
दर्शनशास्त्री darशanaशAstrI
दर्शनी darशanI
दर्शनीय darशanIya
दर्शनीय darशanIya
दर्शन् darशan
दर्शपति darशapti
दर्शाधिकारी darशAधikArI
दर्शाना darशAnA
दर्शानेवाली darशAnEwAlI
दर्शामक darशAmak
दर्शाया darशAyA
दर्शित darशit
दर्शिता darशitA
दर्शी darशI
दर्शेधन darशEधan
दर्शोकों darशokoq
दर्श्ना darशnA
दर्स dars
दर्ज़ा darzA
दल dal
दल dal
दलक dalak
दलकना dalaknA
दलगत dalgat
दलचस्पी dalcaspI
दलथंभन dalथaqBan
दलदल daldal
दलदला daladlA
दलदली daladlI
दलदार daldAr
दलन dalan
दलना dalnA
दलनायक dalnAyak
दलनि dalni
दलनियाँ dalniyAM
दलनी dalnI
दलप dalap
दलपति dalapti
दलपुंज dalpuqj
दलबंदी dalbaqdI
दलबंदीवाद dalbaqdIwAd
दलबदलू dalbadlU
दलबा dalbA
दलमलना dalmalnA
दलमलाना dalmalAnA
दलवाद dalwAd
दलवान dalwAn
दलवाना dalwAnA
दलवृत्ति dalwRtti
दलवैया dalwऐyA
दलसंबंधी dalsaqbaqधI
दलसखा dalasखA
दलसारिणी dalsAriणI
दलसूसा dalsUsA
दलहन dalhan
दलहरा dalahrA
दलहा dalhA
दला dalA
दलाढक dalAढak
दलाढ्य dalAढya
दलादली dalAdlI
दलान dalAn
दलाना dalAnA
दलामल dalAmal
दलाम्ल dalAml
दलारा dalArA
दलाल dalAl
दलाला dalAlA
दलाली dalAlI
दलाह्रय dalAhraya
दलि dali
दलिक dalik
दलिका dalikA
दलित dalit
दलित dalit
दलितों dalitoq
दलितोद्धार dalitodधAr
दलिद्दर daliddar
दलिद्र dalidr
दलिया daliyA
दलिया daliyA
दली dalI
दलीप dalIp
दलीय dalIya
दलील dalIl
दलील dalIl
दले dalE
दलेपंज dalEpaqj
दलेल dalEl
दलै dalऐ
दलैया dalऐyA
दलों daloq
दल् dal
दल्गोष्ठ dalgoषठ
दल्भ dalB
दल्भि dalBi
दल्लाल dallAl
दल्लाला dallAlA
दल्लाली dallAlI
दव dawa
दवँगरा dawaMgrA
दवँरी dawaMrI
दवथु dawथu
दवन dawan
दवना dawnA
दवनी dawnI
दवरिया dawriyA
दवा dawA
दवा dawA
दवाइयाँ dawAiyAM
दवाइयां dawAiyAq
दवाई dawAI
दवाई dawAI
दवाईखाना dawAIखAnA
दवाएं dawAEq
दवाएं dawAEq
दवाओं dawAoq
दवाओं dawAoq
दवाखाना dawAखAnA
दवागि dawAgi
दवागिन dawAgin
दवाग्नि dawAgni
दवात dawAt
दवादारू dawAdArU
दवान dawAn
दवानल dawAnal
दवाब dawAb
दवामी dawAmI
दवार dawAr
दवारा dawArA
दवारि dawAri
दश daश
दशक daशak
दशक daशak
दशकंठारि daशkaqठAri
दशकों daशkoq
दशक् daशak
दशति daशti
दशद्वार daशadwAr
दशधा daशधA
दशन daशan
दशनच्छद daशnacCad
दशना daशnA
दशनांशु daशnAqशu
दशनाढ्य daशnAढya
दशनामी daशnAmI
दशप daशap
दशपुर daशpur
दशम daशam
दशमलव daशmalwa
दशमलव daशmalwa
दशमलवकरण daशmalawkaraण
दशमांश daशmAqश
दशमाल daशmAl
दशमालिक daशmAlik
दशमास्य daशmAsya
दशमिक daशmik
दशमी daशmI
दशमी daशmI
दशमेश daशmEश
दशरथ daशraथ
दशशीश daशशIश
दशहरा daशahrA
दशा daशA
दशा daशA
दशांग daशAqg
दशांगुल daशAqgul
दशांत daशAqt
दशाओं daशAoq
दशाकर्ष daशAkarष
दशाकर्षी daशAkarषI
दशाक्षर daशAkषar
दशाधिपति daशAधipti
दशानन daशAnan
दशानिक daशAnik
दशानुकूलित daशAnukUlit
दशाब्द daशAbd
दशार्ण daशArण
दशार्द्ध daशArdध
दशार्ह daशArh
दशावतार daशAwtAr
दशावरा daशAwrA
दशाश्व daशAशwa
दशाश्वमेध daशAशwamEध
दशास्य daशAsya
दशाह daशAh
दशिका daशikA
दशी daशI
दशेश daशEश
दष्ट daषट
दष्षना daषषnA
दस das
दस das
दसखत dasखat
दसगुना dasgunA
दसठौन dasठऔn
दसद dasad
दसन dasan
दसना dasnA
दसपंद्रह daspaqdrah
दसबदन dasabdan
दसभुजी dasBujI
दसमाथ dasmAथ
दसमी dasmI
दसरंग dasraqg
दसरनी dasarnI
दसरान dasrAn
दसलाखवाँ daslAखwAM
दसवाँ daswAM
दसवी daswI
दसवीं daswIq
दसवें daswEq
दसहरा dasahrA
दसहरी dasahrI
दसा dasA
दसांग dasAqg
दसाना dasAnA
दसामय dasAmya
दसारन dasAran
दसारी dasArI
दसारुहा dasAruhA
दसार्णा dasArणA
दसियों dasiyoq
दसी dasI
दसेंई dasEqI
दसैं dasऐq
दसों dasoq
दसोतरा dasotrA
दसौंधी dasऔqधI
दस्त dast
दस्तंदाज़ dastaqdAz
दस्तंदाज़ी dastaqdAzI
दस्तंदाज़ीई dastaqdAzII
दस्तंदाजी dastaqdAjI
दस्तक dastak
दस्तकार dastakAr
दस्तकारी dastakArI
दस्तकी dastakI
दस्तखत dastaखat
दस्तखती dastaखtI
दस्तख़त dastaख़at
दस्तख़त dastaKat
दस्तगीर dastagIr
दस्तगीरी dastagIrI
दस्तना dastanA
दस्तपनाह dastapanAh
दस्तबरदार dastabardAr
दस्तबरदारी dastabardArI
दस्तयाब dastayAb
दस्तर dastar
दस्तरखान dastaraखAn
दस्ता dastA
दस्तान dastAn
दस्ताना dastAnA
दस्ताने dastAnE
दस्तानेदार dastAnEdAr
दस्तावर dastAwar
दस्तावेज dastAwEj
दस्तावेज dastAwEj
दस्तावेज़ dastAwEz
दस्तावेज़ dastAwEz
दस्तावेज़ी dastAwEzI
दस्तावेज़ों dastAwEzoq
दस्तावेजी dastAwEjI
दस्तावेजों dastAwEjoq
दस्तावेज़ीकरण dastAwEzIkraण
दस्ती dastI
दस्तुरी dasturI
दस्तूर dastUr
दस्तूरी dastUrI
दस्ते dastE
दस्ते dastE
दस्पना daspanA
दस्म dasm
दस्यु dasyu
दस्युता dasyutA
दस्युवृत्ति dasyuwRtti
दस्युहन् dasyuhan
दस्र dasr
दस्सी dassI
दह dah
दहक dahak
दहकता dahaktA
दहकन dahkan
दहकना dahaknA
दहकान dahkAn
दहकाना dahkAnA
दहकानियत dahkAniyat
दहकानी dahkAnI
दहक् dahak
दहग्गी dahaggI
